158913790009,TYPE,GoogleGenerativeAI | __ecma.Null,Null,GoogleGenerativeAI | __ecma.Null
158913790010,TYPE,GoogleSheetsService,GoogleSheetsService,GoogleSheetsService
158913790011,TYPE,IssueHealthMetrics,IssueHealthMetrics,IssueHealthMetrics
158913790012,TYPE,IssueHealthMetrics | __ecma.Null,Null,IssueHealthMetrics | __ecma.Null
158913790013,TYPE,IssueMetricsCalculationResult,IssueMetricsCalculationResult,IssueMetricsCalculationResult
158913790014,TYPE,IssueMetricsCalculationService,IssueMetricsCalculationService,IssueMetricsCalculationService
158913790015,TYPE,IssueMetricsDbService,IssueMetricsDbService,IssueMetricsDbService
158913790016,TYPE,IssueMetricsSyncService,IssueMetricsSyncService,IssueMetricsSyncService
158913790017,TYPE,LeadTimeChange,LeadTimeChange,LeadTimeChange
158913790018,TYPE,LeadTimeChangeInput,LeadTimeChangeInput,LeadTimeChangeInput
158913790019,TYPE,MRHealthMetrics,MRHealthMetrics,MRHealthMetrics
158913790020,TYPE,MRHealthMetrics | __ecma.Null,Null,MRHealthMetrics | __ecma.Null
158913790021,TYPE,MRMetricsCalculationService,MRMetricsCalculationService,MRMetricsCalculationService
158913790022,TYPE,MRMetricsDbService,MRMetricsDbService,MRMetricsDbService
158913790023,TYPE,MRMetricsSyncService,MRMetricsSyncService,MRMetricsSyncService
158913790024,TYPE,MRWeekOverWeekComparison,MRWeekOverWeekComparison,MRWeekOverWeekComparison
158913790025,TYPE,MRWeekOverWeekComparison | __ecma.Null,Null,MRWeekOverWeekComparison | __ecma.Null
158913790026,TYPE,"Map<string, ContributorCommitData>","Map<string, ContributorCommitData>","Map<string, ContributorCommitData>"
158913790027,TYPE,"Map<string, DoraTrendDataPoint>","Map<string, DoraTrendDataPoint>","Map<string, DoraTrendDataPoint>"
158913790028,TYPE,"Map<string, __ecma.Number>",Number>,"Map<string, __ecma.Number>"
158913790029,TYPE,MapConstructor,MapConstructor,MapConstructor
158913790030,TYPE,Math,Math,Math
158913790031,TYPE,MilestoneMetrics,MilestoneMetrics,MilestoneMetrics
